Catalog#,Artist,Title,Query_Spotify,Spotify_Album_Art_URL,Spotify_Artist_URL,Spotify_Album_URL,Trade_or_Sell,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Low,Median,High,Collection Notes,Artist Collection,Last modified time
TRR181-VMP,The Books,The Lemon Of Pink,,https://i.scdn.co/image/ab67616d0000b27380ae246b983f32fb58e89194,https://open.spotify.com/artist/4UvhuGdFf75Cfan7lEU1J1,https://open.spotify.com/album/6zwjQ6buUEcF3E9IGTJXtP,,Temporary Residence Limited,"LP, Album, Club, Ltd, RE, RM, Yel",1,,9332526,Uncategorized,2019-07-24 16:43,,,,,,2/4/2024 6:48pm
"9 25394-1, 1-25394, 25394-1",Van Halen,5150,,https://i.scdn.co/image/ab67616d0000b27381e66f0aa00989cbe6030d57,https://open.spotify.com/artist/2cnMpRsOVqtPMfq7YiFE6K,https://open.spotify.com/album/5Ew5vOg3PYyT9QUPCrdIZq,checked,"Warner Bros. Records, Warner Bros. Records, Warner Bros. Records","LP, Album",,,2736745,Uncategorized,2019-07-19 15:55,,,,,,2/4/2024 6:48pm
RALP 40500,Frank Zappa,Strictly Commercial (The Best Of Frank Zappa),,https://i.scdn.co/image/ab67616d0000b27385b05f4bb3c88cf252f96b68,https://open.spotify.com/artist/6ra4GIOgCZQZMOaUECftGN,https://open.spotify.com/album/3EbtMJsHbspjhN6Xd4plIu,checked,Rykodisc,"2xLP, Comp, Ltd, Num",,,1661029,Uncategorized,2020-03-17 02:39,,,,,Zappa,2/4/2024 6:49pm
"BPR1223, BPR 1223",Frank Zappa & The Mothers,"Help, I'm A Rock / It Can't Happen Here / Who Are The Brain Police?",,https://i.scdn.co/image/ab67616d0000b27385b05f4bb3c88cf252f96b68,https://open.spotify.com/artist/6ra4GIOgCZQZMOaUECftGN,https://open.spotify.com/album/3EbtMJsHbspjhN6Xd4plIu,checked,"Barking Pumpkin Records, Zappa Records","12"", Single, Mono, Ltd, Num, Red",,,9340394,Uncategorized,2020-03-17 02:29,,,,,Zappa,2/4/2024 6:48pm
DS 2175,Frank Zappa,Apostrophe ('),,https://i.scdn.co/image/ab67616d0000b27385b05f4bb3c88cf252f96b68,https://open.spotify.com/artist/6ra4GIOgCZQZMOaUECftGN,https://open.spotify.com/album/3EbtMJsHbspjhN6Xd4plIu,checked,Discreet,"LP, Album, San",,,4951944,Uncategorized,2020-03-17 02:24,,,,,Zappa,2/4/2024 6:51pm
RNEP 604,Frank Zappa,Rare Meat,,https://i.scdn.co/image/ab67616d0000b27385b05f4bb3c88cf252f96b68,https://open.spotify.com/artist/6ra4GIOgCZQZMOaUECftGN,https://open.spotify.com/album/3EbtMJsHbspjhN6Xd4plIu,checked,Del-Fi Records,"12"", MiniAlbum, Comp, Mono, RE",,,3483734,Uncategorized,2020-03-17 02:55,,,,,Zappa,2/4/2024 6:51pm
DSK 2292,Frank Zappa,Sleep Dirt,,https://i.scdn.co/image/ab67616d0000b27385f2178694ef703da6441712,https://open.spotify.com/artist/6ra4GIOgCZQZMOaUECftGN,https://open.spotify.com/album/4mxbiUjBnnamJdxtF26VbX,checked,Discreet,"LP, Album, Win",,,941960,Uncategorized,2020-03-17 02:27,,,,,Zappa,2/4/2024 6:47pm
"PAX-AM 039, B002099601",Ryan Adams,Ryan Adams,,https://i.scdn.co/image/ab67616d0000b27386baf9acc5986bc9bdcc4a78,https://open.spotify.com/artist/2qc41rNTtdLK0tV3mJn2Pm,https://open.spotify.com/album/5FV8d3DhSoArvwr0Qqgzq3,checked,"Pax Americana Record Company, Blue Note","LP, Album",,,6069989,Uncategorized,2018-10-21 22:30,,,,,Ryan Adams,2/4/2024 6:42pm
SH-156-1,Gregory Alan Isakov,This Empty Northern Hemisphere,,https://i.scdn.co/image/ab67616d0000b27393a1519118102a6d78164713,https://open.spotify.com/artist/5sXaGoRLSpd7VeyZrLkKwt,https://open.spotify.com/album/06UoTVgpPiGnRPGjowrG3g,,Suitcase Town Music,"LP, Album",,,5671781,Uncategorized,2018-10-21 20:09,,,,,,2/4/2024 6:44pm
B0004707-01,Ryan Adams & The Cardinals,Jacksonville City Nights,,https://i.scdn.co/image/ab67616d0000b27393d70f60bd13d2adada59edd,https://open.spotify.com/artist/5GHv1pBOWOQxIE6WQBq88Q,https://open.spotify.com/album/4DX8EuJHQPRvqj8xhXbWo7,checked,Lost Highway,"2xLP, Album",,,1208947,Uncategorized,2018-10-23 03:58,,,,,Ryan Adams,2/4/2024 6:48pm
